type,set,faction,name,text
Spell,Rare,"Campaign
Trials of Grodov [Set1006]",Hunter's Shot,Deal 4 damage to an enemy. Onslaught: Create a 4/4 Hellhound with Charge and put it on top of your deck.
Unit,Uncommon,The Fall of Argenport [Set4],Iceberg Scattershot,"When you play a unit, it deals 1 damage to the enemy player."
Attachment,Relic Weapon,Legendary,Jawbone Greatsword,"Tribute: Create and draw an 8/6 Brand, Without Fear."
Attachment,Weapon,Legendary,Kaleb's Persuader,"When the wielder attacks, they deal 2 damage to the enemy player and you draw a Fire Sigil from your deck."
Attachment,Relic,Rare,Kaleb's Sanctum,"At the start of your turn, sacrifice all weapons on your units, then play a random weapon on each of those units."
Unit,Legendary,The Dusk Road [Set3],"Kyojun, Grand Shugo","Warcry , Warcry Your other Oni have +2/+2. When Kyojun hits the enemy player, play a 2/1 Oni Ronin."
Unit,Rare,Omens of the Past [Set2],Library Phoenix,"At the start of your turn, reduce the cost of non-unit cards in your hand by 1. +3 Strength and Flying while you have no cards in hand."
Attachment,Relic Weapon,Common,Magma Javelin,NONE
Unit,Common,Dark Frontier [Set6],Mining Team,Warp Summon: Scout . Shift 2
Attachment,Weapon,Uncommon,Morningstar,Overwhelm
Unit,Uncommon,Omens of the Past [Set2],Outlands Brute,"Warp , Charge When an enemy spell is played directly on Outlands Brute, he deals 2 damage to the enemy player."
Unit,Uncommon,The Empty Throne [Set1],Outlands Sniper,Summon: Deal 2 damage.
Unit,Uncommon,Dark Frontier [Set6],Outlaw Ringleader,Pay 4 and twist Outlaw Ringleader to give one of your other units +4 Strength this turn. Onslaught: Play a 2/1 Drifter.
Spell,Common,The Fall of Argenport [Set4],Overheat,Give a unit +5/+2 this turn. Scout .
Unit,Legendary,Dark Frontier [Set6],Raging Firemaw,Flying Pay 6 and twist Raging Firemaw to deal its Strength in damage to an enemy.
Unit,Uncommon,The Empty Throne [Set1],Rebel Illuminator,Entomb: Create and draw a Torch.
Unit,Common,The Empty Throne [Set1],Recogulator,Entomb: Play two 1/1 Grenadin.
Spell,Uncommon,Omens of the Past [Set2],Reforge,Draw a weapon from your void. It gets +2/+2.
Unit,Common,The Flame of Xulta [Set7],Relentless Combatant,Berserk Mastery 8: +2/+2.
Unit,Uncommon,Defiance [Set5],Ruckus Rouser,Renown: You get power this turn equal to double the cost of that spell or weapon.
Unit,Common,The Fall of Argenport [Set4],Scalechannel Sorcerer,"When you play a spell, Scalechannel Sorcerer gets +2 Strength this turn."
Unit,Rare,Defiance [Set5],Shingane Firebrand,Pledge Renown: Deal damage to an enemy equal to the cost of that spell or weapon.
Unit,Rare,Defiance [Set5],Siege Breaker,Overwhelm Summon: Kill an enemy relic. Entomb: The enemy player draws a relic of their choice from their deck.
Attachment,Relic,Common,Spitfire,Pay 4 to deal 1 damage to an enemy.
Attachment,Weapon,Rare,Steelfang Chakram,Entomb: Draw Steelfang Chakram from your void.
Attachment,Weapon,Uncommon,Stonescar Sawed-Off,Summon: Exhaust an enemy unit.
Unit,Common,Defiance [Set5],Surveilor,Pledge
Unit,Uncommon,Omens of the Past [Set2],Swift Stranger,Strangers have Charge .
Unit,Rare,Echoes of Eternity [Set8],Tattoo Dragon,"Flying , Pledge When you draw your second card in a turn, play a 2/2 Oni Grunt."
Unit,Common,Omens of the Past [Set2],Thunderhoof Warrior,Overwhelm Ultimate: Pay 6 to give Thunderhoof Warrior +2/+2.
Unit,Rare,The Flame of Xulta [Set7],Tota Colony,Mastery 4: Create and draw four 0/1 Totemites. Mastery 6: Each unit and weapon in your hand gets +4 Strength and Overwhelm .
Unit,Common,The Dusk Road [Set3],Wandering Forge,+1/+1 and Overwhelm while you have a relic.
Attachment,Weapon,Common,Warhorn,"When the wielder hits the enemy player, create and draw a 2/2 Oni Grunt."
Attachment,Weapon,Common,Welding Torch,Spellcraft 3: Play Torch.
Unit,Promo,The Fall of Argenport [Set4],"Yushkov, the Usurper","When the enemy player plays a unit, exhaust it. Ultimate: At the start of your turn, you get +1 power this turn plus an additional power for each exhausted enemy unit."
Unit,Legendary,The Fall of Argenport [Set4],"Zuberi, Outlands Warlord","When Zuberi attacks, the top unit of your deck gets + Strength equal to his Strength. Inspire: Units you draw get Double Damage ."
Attachment,Relic,Rare,Ashen Snakepit,"When you play your first spell in a turn, play a 3/1 Flamefang with Reckless exhausted."
Unit,Rare,"Campaign
Jekk's Bounty [Set1001]",Bait,Entomb: Play a 7/7 Steelbound Dragon with Flying and Overwhelm .
Unit,Uncommon,The Flame of Xulta [Set7],Burning Claw,"When one of your other Oni dies, draw each weapon it was wielding from your void."
Unit,Uncommon,The Empty Throne [Set1],Calderan Gunsmith,Summon: Each of your units deals 1 damage to the enemy player.
Unit,Uncommon,The Empty Throne [Set1],Centaur Raidleader,Charge Summon: The top unit of your deck gets Charge .
Attachment,Relic Weapon,"Campaign
Homecoming [Set1005]",Clandestine Shotgun,NONE
Unit,Uncommon,Dark Frontier [Set6],Combustion Brawler,Overwhelm The enemy player can't gain Health. Shift 4: Exhaust an enemy unit.
Unit,Uncommon,Echoes of Eternity [Set8],Dancing Flame,"Fate: Dancing Flame gets Charge , +2/+2, or its cost reduced by 2."
Spell,Legendary,"Campaign
Homecoming [Set1005]",Demand Death,"Draw four cards, then play a unit drawn this way. At the end of your next turn, you die."
Spell,Uncommon,The Flame of Xulta [Set7],Dramatic Exit,Give one of your units +4 Strength and Exalted . Sacrifice it at the end of the turn.
Spell,Common,Omens of the Past [Set2],Dustblind,Warp Exhaust two enemy units.
Unit,Common,The Empty Throne [Set1],Dusthoof Brawler,Overwhelm
Unit,Rare,Dark Frontier [Set6],Eclipse Dragon,"Flying , Charge , Quickdraw At the start of the enemy turn, you get +3 power this turn."
Spell,Common,The Fall of Argenport [Set4],Fiery Fissure,Deal 4 damage to an enemy. Tribute: Overwhelm .
Unit,Uncommon,The Flame of Xulta [Set7],Flamekeeper,"Exalted , Overwhelm You have Overwhelm ."
Spell,Uncommon,The Empty Throne [Set0],Flash Fire,Deal damage to an enemy equal to your Fire influence.
Spell,Uncommon,"Campaign
Trials of Grodov [Set1006]",Forge Fire,Give one of your weapons +3/+3. Its wielder deals 3 damage to an enemy.
Unit,Legendary,Dark Frontier [Set6],"Ghodan, Undefeated","Charge , Warp Your other units have Warp ."
Spell,Common,Omens of the Past [Set2],Gun Down,Deal 5 damage to an enemy unit without Quickdraw .
Unit,Rare,"Campaign
Homecoming [Set1005]",Gunrunner,"Pledge , Quickdraw You and your units have Quickdraw . Summon: If you Pledge d this game, play a 3/1 relic weapon."
Unit,Uncommon,Defiance [Set5],Hordeleader,"When Hordeleader attacks, your other attacking units get +1 Strength this turn. Renown: Play a Barbarian Camp."
Attachment,Weapon,Rare,Hotbarrel Revolver,"Summon: The wielder deals 3 damage to a random enemy. If played on a Gunslinger, you choose the enemy instead."
Unit,Echoes of Eternity [Set8],Fire,Inferno Brood,"Flying , Charge"
Unit,Common,Echoes of Eternity [Set8],Inferno Zealot,"Overwhelm , Pledge"
Unit,Rare,The Empty Throne [Set1],Infernus,"Charge , Overwhelm Free on your first turn. At the end of your turn, sacrifice Infernus."
Spell,Rare,The Dusk Road [Set3],Inner Fire,"Play a 5/5 Infernus. For each of your Grenadin, you may pay 2 and exhaust it to play an additional Infernus."
Unit,Legendary,The Dusk Road [Set3],"Jekk, Hunted Fugitive","Quickdraw When Jekk attacks, play a +1/+1 weapon on each attacking unit. Then, increase this ability by +1/+1."
Unit,Common,The Flame of Xulta [Set7],Living Mountain,Summon: Give one of your other units +2/+2 and Overwhelm this turn.
Unit,The Empty Throne [Set1],Fire,Magmahound,Charge
Spell,Rare,The Empty Throne [Set1],Obliterate,Overwhelm Deal 6 damage to a unit or player.
Unit,Common,The Empty Throne [Set1],Oni Striker,"Charge , Quickdraw"
Unit,Rare,The Dusk Road [Set3],Parapet Sentry,+2/+2 while you have a relic. Summon: Deal 3 damage to the enemy player and 3 damage to an enemy unit with Flying .
Unit,Common,Omens of the Past [Set2],Pit Fighter,NONE
Attachment,Weapon,Defiance [Set5],Poacher's Rifle,NONE
Unit,Rare,Omens of the Past [Set2],Pouncing Drake,"Warp , Flying"
Unit,Common,The Dusk Road [Set3],Powderkeg Rider,"Overwhelm Ultimate: When one of your other Grenadin dies, Powderkeg Rider gets +4 Strength."
Unit,Common,Dark Frontier [Set6],Rallying Sergeant,Onslaught: +3 Strength.
Unit,Uncommon,The Fall of Argenport [Set4],Robobuddy,Charge Infiltrate: Create and draw a 0/3 Helpful Doorbot.
Attachment,Relic,Uncommon,Shingane Forge,"When you play a unit, create and draw a +2/+1 weapon."
Unit,Legendary,The Empty Throne [Set1],Shogun of the Wastes,Double Damage Summon: Your units deal Double Damage this turn.
Attachment,Relic Weapon,Uncommon,Slayer's Edge,Summon: Draw a Treasure Trove for each different name among your Dragons.
Attachment,Weapon,Uncommon,Staff of the Arch-Magister,+1/+1 for each spell in your void.
Unit,Uncommon,Omens of the Past [Set2],Stonepowder Heretic,"When Stonepowder Heretic attacks, double his Strength this turn."
Spell,Uncommon,Echoes of Eternity [Set8],Thunder of Wings,Play a 4/2 Dragon with Flying and Charge . You may exhaust a unit to play Thunder of Wings for 2 less.
Unit,Rare,Dark Frontier [Set6],Waystone Elemental,Waystone Elemental costs 1 less for each of your Shift ed units. Entomb: Play two Shift ed 2/3 Shardlings.
Unit,Uncommon,The Fall of Argenport [Set4],Wildfire Censari,"When you play a spell, Wildfire Censari gets +1/+1 and Quickdraw this turn."
Spell,Legendary,Omens of the Past [Set2],Bad News,Warp Ready your units. They can attack again.
Attachment,Relic Weapon,Common,Barkeep's Friend,Entomb: Create and draw a +1/+1 weapon.
Attachment,Relic,Legendary,Birthright,"At the start of each player's turn, they play the top card of their deck."
Unit,Legendary,Dark Frontier [Set6],Blademaster Daimyo,Onslaught: Draw a weapon from your void for each attack you or your units made this turn.
Unit,The Fall of Argenport [Set4],Fire,"Brand, Without Fear",Berserk Summon: You may sacrifice another unit to give Brand Overwhelm .
Unit,Common,Omens of the Past [Set2],Cannonbearer,Warp Summon: Deal 1 damage to an enemy.
Unit,Uncommon,The Empty Throne [Set1],Crowd Favorite,Summon: Choose a weapon with cost 3 or less from your deck and play it.
Unit,Rare,The Fall of Argenport [Set4],Dashing Rapscallion,"Berserk When Dashing Rapscallion attacks, she gets +2 Strength."
Spell,Legendary,The Fall of Argenport [Set4],End of the Barrel,Warp +8 power this turn. Tribute: +10 power this turn instead.
Attachment,Relic,Legendary,Flamestoker,"At the start of your turn, play an Infernus."
Unit,Uncommon,The Empty Throne [Set1],Frontline Cyclops,"Reckless , Warcry"
Unit,Rare,The Empty Throne [Set1],General Izalio,Quickdraw Your other units have +2 Strength.
Attachment,Weapon,Common,Hellfire Rifle,Summon: The wielder deals 3 damage to the enemy player.
Attachment,Weapon,Uncommon,Heretic's Cannon,"Overwhelm When the wielder attacks, double its Strength this turn."
Unit,Legendary,Echoes of Eternity [Set8],"Midias, Leyline Dragon","Flying , Overwhelm When you draw a power card, create and draw a Treasure Trove. When you play a spell, Midias gets + Strength equal to the cost of that spell this turn."
Attachment,Relic Weapon,Legendary,Molten Fist,+ Strength equal to your Armor.
Unit,Uncommon,The Dusk Road [Set3],Oni Gunwright,Gunslinger Ally: Warcry . Entomb: Draw a weapon from your void.
Spell,Common,Dark Frontier [Set6],Outdraw,Deal 4 damage to an enemy unit. Onslaught: You get +4 power this turn.
Attachment,Relic Weapon,Rare,Phoenix Hammer,"When you play your third spell in a turn, draw Phoenix Hammer from your void. Amplify 2: +1 Strength."
Unit,Common,The Fall of Argenport [Set4],Pyre Elemental,Charge Pyre Elemental costs 4 less if you have played a spell this turn.
Unit,Rare,Defiance [Set5],Shingane Captain,Charge Your other Fire units have +1/+1.
Unit,Legendary,The Dusk Road [Set3],Sky Terror,"Flying , Warcry When Sky Terror attacks, exhaust all enemy units without Flying ."
Unit,Legendary,The Empty Throne [Set1],Soulfire Drake,"Flying , Charge Entomb: Each unit in your deck randomly gets Flying or Charge ."
Unit,Common,Echoes of Eternity [Set8],Stonepowder Bomber,Exalted on your turn.
Attachment,Relic Weapon,Uncommon,Stonescar Maul,Overwhelm
Unit,Uncommon,Defiance [Set5],Sunscorched Elemental,Reckless Renown: Play two 3/1 Flamefangs with Reckless .
Unit,Rare,The Dusk Road [Set3],Sureshot,Sureshot has +3/+3 for each weapon she's wielding. Sureshot has Overwhelm while she has 18 Strength or more.
Unit,Uncommon,The Dusk Road [Set3],Tempered Sentinel,"Charge , Bond"
Unit,Rare,"Campaign
Into Shadow [Set1004]",Waystone Titan,"Charge When Waystone Titan hits the enemy player, you get +6 power this turn."
Unit,Rare,The Empty Throne [Set1],Worldpyre Phoenix,Flying Entomb: Draw Worldpyre Phoenix from your void with +3/+3 and cost increased by 3.
Unit,Legendary,Dark Frontier [Set6],Aspect of Destruction,Charge Onslaught: Ready your units. They can attack again.
Unit,Legendary,Dark Frontier [Set6],"Brenn, Arch-Magister","When you play another card, you get +1 power this turn."
Attachment,Weapon,Common,Burning Glaive,NONE
Attachment,Relic,Uncommon,Clan Barracks,"When you scout, play a 4/4 Warrior. Onslaught: Scout ."
Attachment,Relic Weapon,Legendary,Claw of the First Dragon,Entomb: Play four random 1-cost units.
Unit,Common,The Fall of Argenport [Set4],Core Scavenger,Summon: Give one of your other units +2/+1 while you have Core Scavenger.
Attachment,Weapon,Uncommon,Final Shot,Quickdraw Spellcraft 1: Play Gun Down.
Unit,Uncommon,Defiance [Set5],Forgeborn,"Overwhelm , Pledge Pay 9 to give Forgeborn +2 Strength this turn for each of your units."
Unit,Legendary,The Dusk Road [Set3],Gearcruncher,Summon: Play a 1/1 Grenadin for each Grenadin in your void. Pay 3 and exhaust Gearcruncher to deal 1 damage to an enemy unit for each of your Grenadin.
Spell,Dark Frontier [Set6],Fire,Headshot,Deal 7 damage to an enemy. Your units get Double Damage and Overwhelm this turn.
Attachment,Relic Weapon,Uncommon,Improvised Rubbler,Summon: Play two 1/1 Grenadin.
Attachment,Weapon,Legendary,Rock Carapace,"The wielder can't fly. At the end of your turn, if the wielder attacked, stun it."
Unit,Legendary,Echoes of Eternity [Set8],Shavka's Stranger,"When a player plays a Stranger, it deals 3 damage to a non-Stranger enemy. When Shavka's Stranger attacks, you get +1 power this turn for each of your units."
Attachment,Relic Weapon,Uncommon,Shugo's Hooked Sword,"When you deal damage, play a 2/2 Oni Grunt."
Unit,Uncommon,The Flame of Xulta [Set7],Skyfire Hellkite,Flying Summon: Each of your units deals 1 damage to the enemy player.
Unit,Rare,The Empty Throne [Set1],Steelbound Dragon,"Flying , Overwhelm"
Unit,Rare,The Flame of Xulta [Set7],Stonesmelt Dragon,Flying Pay 7 to give Stonesmelt Dragon +7 Strength this turn. Summon: Kill all enemy relics.
Unit,Legendary,The Dusk Road [Set3],Great-Kiln Titan,"When you play a relic, deal damage equal to its cost to an enemy. At the end of your turn, play the top card of your deck."
Unit,Rare,Echoes of Eternity [Set8],Hammerhand,Summon: Deal 5 damage to two enemies. Corrupted 5
Unit,Echoes of Eternity [Set8],Fire,Hammerhand Shade,"At the end of your turn, this gets -1 Health. Pay 5 and sacrifice Hammerhand Shade to deal 5 damage to two enemies."
Unit,Common,The Dusk Road [Set3],Heroic Bravo,"Overwhelm , Bond When you bond Heroic Bravo, he deals 2 damage to an enemy."
Unit,Legendary,The Empty Throne [Set1],"Kaleb, Uncrowned Prince",Charge Summon: Play a random weapon on each of your Fire units.
Unit,Common,Defiance [Set5],Magmatic Sentinel,Summon: Deal 5 damage to an enemy unit.
Spell,Fast Spell,Uncommon,Twinflame,Warp Deal 4 damage to two enemies.
Unit,Legendary,Defiance [Set5],Xo of the Endless Hoard,"Flying Fate: Create and draw a Treasure Trove. Ultimate: When Xo attacks, for every 2 you spend, he deals 1 damage to an enemy and you draw a Treasure Trove."
Unit,Legendary,The Empty Throne [Set1],Lavablood Goliath,Overwhelm Summon: Deal Lavablood Goliath's Strength in damage.
Attachment,Relic Weapon,Legendary,Shavka's Embrace,"Entomb: If it's your turn, draw seven cards and reduce their costs by 1. At the end of your turn, discard your hand."
Unit,Legendary,Omens of the Past [Set2],"Sindok, Rage Incarnate",Flying Sindok costs 1 less for each damage the enemy player has taken this turn.
Attachment,Relic Weapon,Legendary,Spear of the Dying Sun,The enemy player can't gain Health. Spellcraft 5: Play Decimation.
Unit,Legendary,The Fall of Argenport [Set4],First Flame,"When you or one of your units hits the enemy player, play a 3/1 Flamefang with Reckless . Summon: Play a 5/5 Infernus. Tribute: Play three Infernus instead."
Power,The Empty Throne [Set1],Time,Time Sigil,NONE
Power,Common,Dark Frontier [Set6],Amber Coin,Depleted Gain Time. Onslaught: Play a 1/1 Wisp.
Power,Uncommon,The Empty Throne [Set1],Amber Monument,Depleted Gain Time. Transmute 5: 5/5 Rhinarc with Overwhelm .
Power,Common,The Dusk Road [Set3],Amber Waystone,"Gain Time, then if you have Time Time Time Time, you gain 2 Health."
Power,Rare,The Flame of Xulta [Set7],Emblem of Grodov,"Gain Time and take 1 damage. Decimate: If you have Time Time Time, create and draw a 2/2 Earth Elemental with Exalted ."
Power,Uncommon,The Fall of Argenport [Set4],Temple Standard,Depleted Gain Time. Transmute 5: Temple Tactic.
